City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Sechura,PE,2021-01-28 16:07:55,-5.5569,-80.8222,79.83,60,96,6.58
238,Gympie,AU,2021-01-28 16:07:01,-26.1898,152.665,75.0,80,43,1.99
239,Gornopravdinsk,RU,2021-01-28 16:07:55,60.05,69.9,27.63,98,100,11.83
240,Bandarbeyla,SO,2021-01-28 16:07:55,9.4942,50.8122,74.61,73,0,17.83
241,Sinop,TR,2021-01-28 16:07:56,41.7711,34.8709,31.84,96,94,2.59
242,Bara,NG,2021-01-28 16:07:56,10.3744,10.7288,93.2,7,11,21.85
243,Nyurba,RU,2021-01-28 16:07:56,63.2842,118.3319,-45.38,78,100,2.8
244,Ceres,US,2021-01-28 16:07:56,37.5949,-120.9577,46.99,93,90,11.5
245,Idaho Falls,US,2021-01-28 16:07:56,43.4666,-112.0341,35.6,69,90,11.5
246,Adrar,MR,2021-01-28 16:07:56,20.5022,-10.0711,82.85,15,0,13.89
247,Zemio,CF,2021-01-28 16:07:56,5.0314,25.1361,90.84,28,90,2.42
248,Berlevag,NO,2021-01-28 16:07:56,70.8578,29.0864,24.8,58,75,17.27
249,College,US,2021-01-28 16:07:57,64.8569,-147.8028,-11.0,76,75,2.59
250,Tiarei,PF,2021-01-28 16:07:57,-17.5333,-149.3333,75.2,83,40,1.14
251,Myaundzha,RU,2021-01-28 16:07:57,63.0494,147.1858,-25.24,81,34,3.78
252,General Roca,AR,2021-01-28 16:07:57,-39.0333,-67.5833,69.8,35,0,5.75
253,Svetlaya,RU,2021-01-28 16:07:57,46.5389,138.3297,9.97,87,100,10.6
254,Nizhniy Tsasuchey,RU,2021-01-28 16:07:57,50.5167,115.1333,-11.38,84,100,4.23
255,Ormara,PK,2021-01-28 16:07:57,25.2088,64.6357,69.64,52,0,6.17
256,Saryg-Sep,RU,2021-01-28 16:07:57,51.5,95.6,3.7,92,99,1.21
257,Qingdao,CN,2021-01-28 16:07:58,36.0986,120.3719,26.01,49,0,2.24
258,Honiara,SB,2021-01-28 16:07:58,-9.4333,159.95,79.25,82,100,8.66
259,Opuwo,NA,2021-01-28 16:07:58,-18.0607,13.84,73.89,67,93,16.08
260,Dingle,PH,2021-01-28 16:07:58,10.9995,122.6711,73.17,90,64,9.22
261,Port Hawkesbury,CA,2021-01-28 16:06:12,45.6169,-61.3485,30.0,74,90,10.36
262,Mirwah,YE,2021-01-28 16:07:58,13.9228,43.9176,70.03,44,0,1.74
263,Broome,US,2021-01-28 16:07:58,42.2506,-75.833,19.99,67,90,20.71
264,Langsa,ID,2021-01-28 16:07:58,4.4683,97.9683,73.45,94,36,2.1
265,Naryan-Mar,RU,2021-01-28 16:07:58,67.6713,53.087,-27.08,85,5,9.93
266,Cabedelo,BR,2021-01-28 16:07:59,-6.9811,-34.8339,87.8,58,40,13.8
267,Otjimbingwe,NA,2021-01-28 16:07:59,-22.35,16.1333,93.34,20,3,15.48
268,Osorno,CL,2021-01-28 16:06:11,-40.5667,-73.15,64.4,61,75,10.36
269,Cabo San Lucas,MX,2021-01-28 16:05:45,22.8909,-109.9124,66.2,45,75,3.44
270,Haimen,CN,2021-01-28 16:07:59,23.1935,116.6142,57.2,82,0,6.71
271,Gamagori,JP,2021-01-28 16:07:59,34.8333,137.2333,50.0,53,20,21.85
272,Half Moon Bay,US,2021-01-28 16:07:34,37.4636,-122.4286,51.8,93,90,3.44
273,Tonekabon,IR,2021-01-28 16:07:59,36.8163,50.8738,53.6,87,75,2.3
274,Oktyabrskiy,RU,2021-01-28 16:07:59,54.4815,53.471,16.05,95,100,7.85
275,Port Moresby,PG,2021-01-28 16:08:00,-9.4431,147.1797,77.0,88,40,17.27
276,Ambovombe,MG,2021-01-28 16:08:00,-25.1667,46.0833,81.64,78,27,12.93
277,Tezu,IN,2021-01-28 16:08:00,27.9167,96.1667,61.07,29,0,4.88
278,Seoul,KR,2021-01-28 16:05:20,37.5683,126.9778,17.6,38,0,20.71
279,Flin Flon,CA,2021-01-28 16:08:00,54.7682,-101.865,-4.0,71,90,6.91
280,Richards Bay,ZA,2021-01-28 16:08:00,-28.783,32.0377,70.83,87,97,5.53
281,Alofi,NU,2021-01-28 16:08:00,-19.0595,-169.9187,75.2,94,100,8.05
282,Laguna,US,2021-01-28 16:05:43,38.421,-121.4238,48.2,87,90,13.8
283,Stabat,ID,2021-01-28 16:07:26,3.761,98.4513,77.0,94,40,2.3
284,Asfi,MA,2021-01-28 16:08:01,32.2994,-9.2372,67.05,69,0,4.14
285,Meulaboh,ID,2021-01-28 16:08:01,4.1363,96.1285,77.07,86,95,4.25
286,Emba,KZ,2021-01-28 16:08:01,48.8264,58.1442,15.58,92,4,12.06
287,Ponta Do Sol,PT,2021-01-28 16:08:01,32.6667,-17.1,63.0,73,84,4.0
288,Markova,UA,2021-01-28 16:08:01,48.6758,24.4138,30.2,55,0,4.47
289,Manyana,BW,2021-01-28 16:08:01,-23.4,21.7167,90.52,21,99,7.87
290,Hambantota,LK,2021-01-28 16:08:01,6.1241,81.1185,78.8,94,90,3.44
291,Christchurch,NZ,2021-01-28 16:08:02,-43.5333,172.6333,48.0,81,20,8.05
292,Boa Vista,BR,2021-01-28 16:04:03,2.8197,-60.6733,84.2,51,75,13.8
293,Hofn,IS,2021-01-28 16:08:02,64.2539,-15.2082,32.0,69,75,6.91
294,Makakilo City,US,2021-01-28 16:08:02,21.3469,-158.0858,73.4,73,20,5.75
