City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
108,Sao Filipe,CV,14.8961,-24.4956,78.31,52,100,8.88,overcast clouds,2021-01-29 17:00:37
109,Alvarado,MX,18.7667,-95.7667,75.0,78,90,8.05,overcast clouds,2021-01-29 17:00:37
110,Qaanaaq,GL,77.484,-69.3632,-14.6,59,0,4.7,clear sky,2021-01-29 17:00:37
111,Klaksvik,FO,62.2266,-6.589,32.0,64,75,8.05,broken clouds,2021-01-29 17:00:37
112,Luena,AO,-11.7833,19.9167,67.42,85,98,2.39,overcast clouds,2021-01-29 17:00:37
113,Zhigalovo,RU,54.8097,105.1578,-16.53,85,100,2.75,light snow,2021-01-29 17:00:37
114,Biltine,TD,14.5333,20.9167,78.78,16,57,13.49,broken clouds,2021-01-29 17:00:38
115,Kavieng,PG,-2.5744,150.7967,82.98,81,67,14.7,light rain,2021-01-29 17:00:38
116,Mahibadhoo,MV,3.7833,72.9667,81.3,77,6,15.66,clear sky,2021-01-29 17:00:39
117,Cape Canaveral,US,28.4058,-80.6048,63.0,59,1,14.97,clear sky,2021-01-29 17:00:39
118,Faanui,PF,-16.4833,-151.75,80.92,66,38,7.27,scattered clouds,2021-01-29 16:56:28
119,Tupik,RU,54.4253,119.9327,-32.55,81,95,1.63,overcast clouds,2021-01-29 17:00:40
120,Ngunguru,NZ,-35.6167,174.5,54.0,87,22,1.99,light rain,2021-01-29 17:00:40
121,Bethel,US,41.3712,-73.414,12.99,62,90,16.11,overcast clouds,2021-01-29 17:00:40
122,Gobabis,NA,-22.45,18.9667,76.12,56,81,22.64,broken clouds,2021-01-29 17:00:40
123,Kazerun,IR,29.6195,51.6541,59.83,33,58,7.45,broken clouds,2021-01-29 17:00:40
124,Ostrovnoy,RU,68.0531,39.5131,4.89,93,100,16.82,overcast clouds,2021-01-29 17:00:40
125,Pilar De La Horadada,ES,37.8659,-0.7926,78.8,46,0,9.22,clear sky,2021-01-29 17:00:40
126,Inirida,CO,3.8653,-67.9239,93.16,44,53,2.04,broken clouds,2021-01-29 17:00:41
127,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,8.05,few clouds,2021-01-29 16:56:36
128,Lorengau,PG,-2.0226,147.2712,82.6,77,24,9.8,few clouds,2021-01-29 17:00:41
129,Kayes,ML,14.0,-11.0,98.31,8,3,2.64,clear sky,2021-01-29 17:00:41
130,Yenagoa,NG,4.9247,6.2642,88.3,56,30,8.32,scattered clouds,2021-01-29 17:00:42
131,Mount Isa,AU,-20.7333,139.5,82.4,54,75,1.14,broken clouds,2021-01-29 16:56:32
132,Black River,JM,18.0264,-77.8487,78.8,78,75,18.41,broken clouds,2021-01-29 17:00:42
133,Geraldton,AU,-28.7667,114.6,73.4,38,0,11.5,clear sky,2021-01-29 17:00:42
134,Puerto Baquerizo Moreno,EC,-0.9,-89.6,80.6,89,75,9.22,broken clouds,2021-01-29 17:00:43
135,Victoria,HK,22.2855,114.1577,61.0,77,0,3.0,clear sky,2021-01-29 17:00:43
136,Takoradi,GH,4.8845,-1.7554,82.4,74,76,9.31,light rain,2021-01-29 17:00:43
137,Karratha,AU,-20.7377,116.8463,82.6,76,1,5.68,clear sky,2021-01-29 17:00:44
138,Srednekolymsk,RU,67.45,153.6833,-29.6,84,100,3.8,overcast clouds,2021-01-29 17:00:44
139,Bredasdorp,ZA,-34.5322,20.0403,73.0,67,0,3.0,clear sky,2021-01-29 17:00:45
140,Itarema,BR,-2.9248,-39.9167,84.54,64,99,14.54,moderate rain,2021-01-29 17:00:45
141,Bairiki,KI,1.3292,172.9752,78.8,83,75,8.05,broken clouds,2021-01-29 16:57:20
142,Nosy Varika,MG,-20.5833,48.5333,80.49,79,0,6.64,clear sky,2021-01-29 17:00:45
143,Lulea,SE,65.5842,22.1547,-2.2,84,0,5.75,clear sky,2021-01-29 17:00:45
144,Saint Anthony,US,45.0205,-93.218,21.2,73,90,5.75,overcast clouds,2021-01-29 17:00:46
145,Mar Del Plata,AR,-38.0023,-57.5575,82.4,30,0,12.66,clear sky,2021-01-29 16:56:38
