City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Pa Sang,TH,77.0,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
492,Harper,LR,82.0,light rain,4.375,-7.7169,Screensaver
494,Navolato,MX,77.0,few clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
501,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
503,Kirakira,SB,81.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
504,Aguimes,ES,75.99,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
505,Springbok,ZA,77.5,clear sky,-29.6643,17.8865,Undulata Country Lodge
507,Omboue,GA,79.07,moderate rain,-1.5746,9.2618,Hotel Olako
510,Mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
511,Kieta,PG,80.1,light rain,-6.2167,155.6333,
517,Natalio,PY,84.36,scattered clouds,-26.7167,-55.0833,Casa familia Sánchez
518,Touros,BR,87.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
520,Porto Walter,BR,80.92,broken clouds,-8.2686,-72.7439,Secretaria de saúde
521,Gizo,SB,82.4,light rain,-8.103,156.8419,Imagination Island
525,San Pedro,PH,77.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
528,Adrar,MR,83.48,clear sky,20.5022,-10.0711,
529,Alta Floresta,BR,83.88,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
532,Araguacu,BR,85.96,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
533,Sao Geraldo Do Araguaia,BR,86.04,broken clouds,-6.4006,-48.555,SOLAR DO BARROSO
538,Cururupu,BR,88.93,broken clouds,-1.8283,-44.8683,Pousada Través'cia
543,Luebo,CD,80.46,overcast clouds,-5.35,21.4167,
544,Grand Baie,MU,81.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
547,Kananga,CD,76.77,overcast clouds,-5.8958,22.4178,Guest House Wood Land
551,West Bay,KY,79.0,scattered clouds,19.3667,-81.4167,Calypso Cove
554,Waingapu,ID,78.42,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
557,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
560,Angoche,MZ,81.79,few clouds,-16.2325,39.9086,Guest House HESADA
566,Curuca,BR,82.22,overcast clouds,-0.7289,-47.8481,Hotel Curuça
567,Praia,CV,80.6,clear sky,14.9215,-23.5087,LT Aparthotel
578,Auki,SB,78.64,overcast clouds,-8.7676,160.7034,Auki Motel
579,Tapes,BR,84.99,light rain,-30.6733,-51.3958,Cabanas Camping Union
588,Cayenne,GF,84.2,light rain,4.9333,-52.3333,Hôtel Le Dronmi
590,Caucaia,BR,86.0,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
591,Le Port,RE,78.8,clear sky,-20.9373,55.2919,Villa Maido
594,Sibolga,ID,77.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
600,Huarmey,PE,76.71,scattered clouds,-10.0681,-78.1522,Hotel Miramar
601,Wajid,SO,82.51,scattered clouds,3.8093,43.2471,xamdihotelresturant114
604,Matadi,CD,82.71,moderate rain,-5.8167,13.45,Hotel Fortune
607,Sao Joao Da Barra,BR,82.31,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
608,Alvaraes,BR,82.4,broken clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
609,Morondava,MG,83.12,moderate rain,-20.2833,44.2833,La Case Bambou
610,Santo Tomas,PH,77.0,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
620,Guiuan,PH,81.12,overcast clouds,11.0333,125.7247,Khaishra Hotel
